Sl. No.,State/UT,No. of wells Analysed,Rise - 0-2 m - No,Rise - 0-2 m - %,Rise - 2-4 m - No,Rise - 2-4 m - %,Rise - >4 m - No,Rise - >4 m - %,Fall - 0-2 m - No,Fall - 0-2 m - %,Fall - 2-4 m - No,Fall - 2-4 m - %,Fall - >4 m - No,Fall - >4 m - %,Rise - No,Rise - %,Fall - No,Fall - %,Wells showing no change - No,Wells showing no change - %
1,Andhra Pradesh,705,429,60.9,83,11.8,59,8.4,109,15.5,18,2.6,6,0.9,571,81,133,19,1,0
2,Arunachal Pradesh,10,1,10,0,0,0,0,7,70,1,10,0,0,1,10,8,80,1,10
3,Assam,163,67,41.1,2,1.2,1,0.6,85,52.1,5,3.1,3,1.8,70,43,93,57,0,0
4,Bihar,592,371,62.7,86,14.5,12,2,115,19.4,8,1.4,0,0,469,79,123,21,0,0
5,Chandigarh,12,5,41.7,2,16.7,1,8.3,2,16.7,1,8.3,1,8.3,8,67,4,33,0,0
6,Chhattisgarh,693,327,47.2,87,12.6,32,4.6,190,27.4,34,4.9,23,3.3,446,64,247,36,0,0
7,Dadra and Nagar Haveli,17,15,88.2,0,0,0,0,2,11.8,0,0,0,0,15,88,2,12,0,0
8,Daman and Diu,4,2,50,1,25,0,0,1,25,0,0,0,0,3,75,1,25,0,0
9,Delhi,85,25,29.4,24,28.2,22,25.9,9,10.6,5,5.9,0,0,71,84,14,16,0,0
10,Goa,68,12,17.6,1,1.5,0,0,49,72.1,5,7.4,1,1.5,13,19,55,81,0,0
11,Gujarat,742,273,36.8,115,15.5,89,12,179,24.1,37,5,47,6.3,477,64,263,35,2,0
12,Haryana,181,74,40.9,7,3.9,8,4.4,69,38.1,11,6.1,12,6.6,89,49,92,51,0,0
13,Himachal Pradesh,86,45,52.3,4,4.7,2,2.3,30,34.9,3,3.5,2,2.3,51,59,35,41,0,0
14,Jammu and Kashmir,211,109,51.7,11,5.2,3,1.4,81,38.4,6,2.8,1,0.5,123,58,88,42,0,0
15,Jharkhand,191,117,61.3,12,6.3,1,0.5,55,28.8,6,3.1,0,0,130,68,61,32,0,0
16,Karnataka,1290,707,54.8,264,20.5,126,9.8,161,12.5,19,1.5,11,0.9,1097,85,191,15,2,0
17,Kerala,1297,858,66.2,164,12.6,44,3.4,206,15.9,15,1.2,9,0.7,1066,82,230,18,1,0
18,Madhya Pradesh,1297,588,45.3,178,13.7,107,8.2,334,25.8,66,5.1,22,1.7,873,67,422,33,2,0
19,Maharashtra,1727,874,50.6,285,16.5,142,8.2,346,20,51,3,24,1.4,1301,75,421,24,5,0
20,Meghalaya,24,10,41.7,0,0,0,0,14,58.3,0,0,0,0,10,42,14,58,0,0
21,Nagaland,2,1,50,0,0,0,0,0,0,1,50,0,0,1,50,1,50,0,0
22,Odisha,1226,640,52.2,28,2.3,3,0.2,516,42.1,33,2.7,6,0.5,671,55,555,45,0,0
23,Pondicherry,6,4,66.7,0,0,1,16.7,1,16.7,0,0,0,0,5,83,1,17,0,0
24,Punjab,175,53,30.3,5,2.9,2,1.1,90,51.4,23,13.1,2,1.1,60,34,115,66,0,0
25,Rajasthan,917,257,28,75,8.2,40,4.4,307,33.5,114,12.4,123,13.4,372,41,544,59,1,0
26,Tamil Nadu,530,173,32.6,154,29.1,129,24.3,53,10,14,2.6,7,1.3,456,86,74,14,0,0
27,Telangana,537,213,39.7,88,16.4,119,22.2,102,19,5,0.9,10,1.9,420,78,117,22,0,0
28,Tripura,22,4,18.2,0,0,0,0,15,68.2,2,9.1,0,0,4,18,17,77,1,5
29,Uttar Pradesh,644,358,55.6,111,17.2,26,4,126,19.6,16,2.5,7,1.1,495,77,149,23,0,0
30,Uttarakhand,45,21,46.7,5,11.1,2,4.4,12,26.7,3,6.7,2,4.4,28,62,17,38,0,0
31,West Bengal,706,409,57.9,98,13.9,31,4.4,113,16,27,3.8,27,3.8,538,76,167,24,1,0
Total,Total,14205,7042,49.6,1890,13.3,1002,7.1,3379,23.8,529,3.7,346,2.4,9934,70,4254,30,17,0
